scan No, Date, Time, raw_value, calibrated_value
1,30/05/2023 , 05:05:00,0,0
2,30/05/2023 , 05:10:00,0,0
3,30/05/2023 , 05:15:00,0,0
4,30/05/2023 , 05:20:00,0,0
5,30/05/2023 , 05:25:00,4,0.3
6,30/05/2023 , 05:30:00,9,0.7
7,30/05/2023 , 05:35:00,23,1.7
8,30/05/2023 , 05:40:00,39,2.9
9,30/05/2023 , 05:45:00,59,4.3
10,30/05/2023 , 05:50:00,73,5.4
11,30/05/2023 , 05:55:00,60,4.4
12,30/05/2023 , 06:00:00,85,6.2
13,30/05/2023 , 06:05:00,105,7.7
14,30/05/2023 , 06:10:00,130,9.5
15,30/05/2023 , 06:15:00,155,11.4
16,30/05/2023 , 06:20:00,180,13.2
17,30/05/2023 , 06:25:00,195,14.3
18,30/05/2023 , 06:30:00,205,15.1
19,30/05/2023 , 06:35:00,225,16.5
20,30/05/2023 , 06:40:00,246,18.1
21,30/05/2023 , 06:45:00,261,19.2
22,30/05/2023 , 06:50:00,275,20.2
23,30/05/2023 , 06:55:00,288,21.1
24,30/05/2023 , 07:00:00,308,22.6
25,30/05/2023 , 07:05:00,324,23.8
26,30/05/2023 , 07:10:00,340,25
27,30/05/2023 , 07:15:00,350,25.7
28,30/05/2023 , 07:20:00,357,26.2
29,30/05/2023 , 07:25:00,365,26.8
30,30/05/2023 , 07:30:00,374,27.5
31,30/05/2023 , 07:35:00,386,28.3
32,30/05/2023 , 07:40:00,397,29.1
33,30/05/2023 , 07:45:00,405,29.7
34,30/05/2023 , 07:50:00,417,30.6
35,30/05/2023 , 07:55:00,427,31.4
36,30/05/2023 , 08:00:00,438,32.2
37,30/05/2023 , 08:05:00,447,32.8
38,30/05/2023 , 08:10:00,439,32.2
39,30/05/2023 , 08:15:00,433,31.8
